Episode,score[Blue],score[Red],totalReward[Blue1],totalReward[Blue2],totalReward[Red1],totalReward[Red2],finishedTime[s],numSteps,calcTime[s],BlueWin,WinCount,WinRate[%],numAlives[Blue],numAlives[Red],endReason
1,+1.7049310802250353e+01,+0.0000000000000000e+00,+1.4149400859821574e+02,+1.4149400859821574e+02,-7.3282104845191284e+01,-7.3282104845191284e+01,+3.8400000000000000e+02,384.0,+2.5868354582786560e+02,1,1,+1.0000000000000000e+02,+2.0000000000000000e+00,+0.0000000000000000e+00,ELIMINATION
2,+1.0000000000000000e+01,+0.0000000000000000e+00,+1.1299443155171099e+02,+1.1299443155171099e+02,-1.8502949759677588e+01,-1.8502949759677588e+01,+9.8900000000000000e+02,989.0,+5.9979804539680481e+02,1,2,+1.0000000000000000e+02,+2.0000000000000000e+00,+2.0000000000000000e+00,BREAK
3,+0.0000000000000000e+00,+1.0000000000000000e+01,-3.0692741572271132e+01,-3.0692741572271132e+01,+1.0061185015742207e+02,+1.0061185015742207e+02,+5.9400000000000000e+02,594.0,+9.9432743859291077e+03,0,2,+6.6666666666666671e+01,+2.0000000000000000e+00,+2.0000000000000000e+00,BREAK
4,+1.1896752125056844e+01,+0.0000000000000000e+00,+1.0839792165498251e+02,+1.0839792165498251e+02,-5.5075753244182714e+01,-5.5075753244182714e+01,+5.2900000000000000e+02,529.0,+3.1381939640045166e+03,1,3,+7.5000000000000000e+01,+2.0000000000000000e+00,+0.0000000000000000e+00,ELIMINATION
5,+1.0000000000000000e+01,+0.0000000000000000e+00,+8.8355216144190763e+01,+8.8355216144190763e+01,-2.8344079073786727e+01,-2.8344079073786727e+01,+4.3700000000000000e+02,437.0,+2.4303159000873566e+03,1,4,+8.0000000000000000e+01,+2.0000000000000000e+00,+2.0000000000000000e+00,BREAK
6,+1.5000000000000000e+01,+0.0000000000000000e+00,+1.3291084482084665e+02,+1.3291084482084665e+02,-4.5242007086621854e+01,-4.5242007086621854e+01,+9.1500000000000000e+02,915.0,+4.8574880609512329e+03,1,5,+8.3333333333333329e+01,+2.0000000000000000e+00,+1.0000000000000000e+00,BREAK
7,+0.0000000000000000e+00,+1.0000000000000000e+01,-2.5405223008355339e+01,-2.5405223008355339e+01,+1.0332606976063352e+02,+1.0332606976063352e+02,+8.5900000000000000e+02,859.0,+4.8185005619525909e+03,0,5,+7.1428571428571431e+01,+2.0000000000000000e+00,+2.0000000000000000e+00,BREAK
8,+1.0000000000000000e+01,+0.0000000000000000e+00,+9.8641923978998065e+01,+9.8641923978998065e+01,-2.6260603807286579e+01,-2.6260603807286579e+01,+7.5500000000000000e+02,755.0,+4.0187541761398315e+03,1,6,+7.5000000000000000e+01,+2.0000000000000000e+00,+2.0000000000000000e+00,BREAK
9,-5.0000000000000000e+00,+8.2003194019347507e+00,-2.4533683191780392e+02,-2.4533683191780392e+02,+8.2864322268432659e+01,+8.2864322268432659e+01,+6.8500000000000000e+02,685.0,+4.6141056944847107e+04,0,6,+6.6666666666666671e+01,+0.0000000000000000e+00,+2.0000000000000000e+00,ELIMINATION
10,+1.5000000000000000e+01,+0.0000000000000000e+00,+1.3853104270732808e+02,+1.3853104270732808e+02,-6.6553178836378336e+01,-6.6553178836378336e+01,+5.9500000000000000e+02,595.0,+3.4681576871871948e+02,1,7,+7.0000000000000000e+01,+2.0000000000000000e+00,+1.0000000000000000e+00,BREAK
